w,1,8,0	n,1,1,0	n,1,1,0	n,1,5,0	n,1,5,0	0	w,2,3,0	n,2,1,0	n,2,1,0	e,2,3,0	0	n,1,1,0	n,1,1,0	n,1,1,0	w,1,8,0
0	0	n,1,1,0	n,1,1,0	0	0	0	n,2,1,0	n,2,1,0	0	0	n,1,1,0	0	0	0
0	0	0	n,1,1,0	0	0	0	s,2,6,0	n,2,1,0	0	0	n,1,1,0	0	0	0
0	0	0	n,1,1,0	0	0	0	n,2,1,0	n,2,6,0	0	0	n,1,1,0	0	0	0
0	0	0	n,1,5,0	0	0	0	n,2,1,0	n,2,1,0	0	0	n,1,1,0	w,1,2,0	n,1,1,0	0
0	0	0	n,1,5,0	0	0	n,2,5,0	n,2,1,0	n,2,1,0	n,2,1,0	0	0	0	n,1,1,0	0
0	0	0	n,1,1,0	0	0	n,2,1,0	n,2,1,0	w,2,2,0	w,2,2,0	0	0	0	n,1,5,0	0
0	0	0	n,1,1,0	0	0	n,2,1,0	n,2,1,0	0	0	0	n,1,1,0	n,1,1,0	n,1,1,0	0
n,1,1,0	n,1,1,0	n,1,1,0	n,1,1,0	0	0	n,2,1,0	n,2,1,0	0	0	0	n,1,1,0	0	0	0
n,1,1,0	0	0	n,1,1,0	0	0	n,2,1,0	n,2,1,0	0	0	n,1,1,0	n,1,1,0	0	0	0
w,1,8,0	0	0	w,1,2,0	0	w,2,3,0	n,2,6,0	n,2,6,0	e,2,3,0	0	w,1,2,0	n,1,1,0	n,1,5,0	w,1,6,0	w,1,8,0
